Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
O4L6U,0.06578084450734811,0.3791893453914888,119.94069992762805,76.14718092682854,1.1855918374901406,0.7635188098872998,4.5699229139873605,4.000394174428834,0.6903157008654928,-0.0015987083315848636,8.681921735357644,17.820602524722574
ZEJWA,0.1493548844528504,0.030359765639448973,0.002785711136020613,0.18349047083497505,0.6953837059923608,-0.349157053262358,0.12037856916302347,-1.1735687072753076,0.595387271434791,0.005667709535168011,-0.4664751800261938,1.3674626221245696
AYYQG,0.03770660405802506,0.024733693979577143,187.1900728825252,207.17927666079632,0.5919473488482528,-0.077451744341908,0.20191490516229527,-0.8716582004852076,0.9460734052965828,-0.002675570022344061,49.3364587279676,41.81111204247335
45AHC,0.07697789673231048,0.3553192091793617,71.71819449034997,18.257196162160085,1.6771464242051832,-0.2880702960801416,5.170450657084861,1.0674653677104882,0.6582540245300234,0.005259517648197009,0.37819974939179496,11.636596918301908
SULFV,0.08579352024245658,0.013774581624571902,0.05040758142693474,0.4358476891983195,1.526155972449362,-0.06334018941291356,2.906821875007896,-1.6195339209897153,0.4283835582406687,-0.002631086291688755,-1.2276346741402075,-0.7124203817370177
27Z2M,0.054466769656915326,0.027922302542692123,74.08409557218145,75.72308678481761,0.4153359601463456,-0.12436926092049047,-0.09255594425760494,-0.2827586239425077,0.7640816200756197,0.0014685310081746195,12.941986567418912,12.432283752212234
7P8NE,0.13130482796362666,0.05723835173918035,5.156574274427667,0.07212480625621094,0.8668608813904014,-0.642357186188596,1.9200581837429231,0.15716428977052874,0.6132973773413712,0.0015639535477485619,-0.7443360670068546,2.3963193076284433
YPM9N,0.08250574283320744,0.051015765099724934,43.532759834778965,45.39776984205454,0.1843815346364321,0.0880462571626778,-0.08932776200232206,-0.3708591027827124,0.6723447570418546,-0.002710574810658037,5.274547277641422,5.3993235784256814
V2LGY,0.05597507754434261,0.5984302957975376,173.76912046864402,92.002067575684,0.5987617140079142,-0.2375454957055333,0.0077041680154299455,-0.2434986132768415,0.9851592627122484,-0.0003120363714858489,11.939537744984298,23.80091972487205
00GNX,0.06559083813339195,0.6189900044130103,162.54894658044157,67.71258740030245,0.463761794329916,0.21178090689062906,-0.2302779964737107,0.026494614226000742,0.7222893501236475,0.001989913800573514,10.242447622996538,28.114065408118734
TLOU7,0.06776037231172938,0.04401397311896117,39.486507767941056,34.34861651112726,0.046677307287072485,-0.19700384375003305,-0.054495746466424855,0.2202729542077364,0.7219521104932642,0.002541360365513819,3.3647863256625987,3.3882239881580194
FAQZ5,0.09527156790451607,0.12404936324824488,42.219126256087655,26.183725119737634,2.6334244559191182,0.0,12.71931853344315,0.0,0.6056524323675775,-6.2704086304802265e-06,4.502315204864848,6.381240999107625
L29VX,0.05932858766111426,0.07990747357228611,47.177872792322034,37.33294060725016,-0.27449240580494594,-0.06566330853686662,0.1298241871251955,-0.3436903760273178,0.5376955614271155,-0.0014410509992003244,5.342258419899312,7.2073086804237105
8WQ5E,0.05807620349296561,0.018266537337427,104.82590163303014,98.67714876424728,-0.4970665781740744,-0.022934884540110136,0.13069956913877334,-0.2204295312386733,0.7125182584822582,0.004796798960240488,15.090219182917009,15.059434036267982
N4LT0,0.11485583451975513,0.034016288139010364,1.293014846357211,1.0239906982264138,2.650360473572553,-0.07642430148194962,19.11539958033563,2.2059740986566645,0.5099964778630998,-0.00026383930179182594,-0.2509412543821864,-0.4073693736686709
3H3F4,0.08911912228758312,0.13135664036319628,76.11428875090849,103.52528124806427,2.0523983788581157,0.3894615170294031,8.802450613257216,0.04019606430407485,0.7871420781006171,-0.006115305368674571,14.995104627144453,12.89794636677376
